Vendor Name,Retailer Name,Retailer VendorID,Vendor Store Number,Retailer Store Number,Fintech Process Date,Invoice Date,Invoice DueDate,Invoice Number,Invoice Amount,Invoice Item Count,PO Number,PO Date,Reference Invoice Number,Product Number,Quantity,Invoice Line Item Cost,Unit Of Measure,Product Volume,Case UPC,Product Description,Discount Adjustment Total,DepositAdjustmentTotal,Miscellaneous Adjustment Total,Tax Adjustment Total,Delivery Adjustment Total,Extended Price,Packs Per Case,Clean UPC,Pack UPC,Product Class,GL Code,Expanded StoreID,Units Per Pack
"Hop & Wine Beverage, LLC","Root Retail LLC",,"4277","000001","09/17/2025","09/16/2025","09/17/2025","2115223","34.36","1",,,,"30321","1","34.36","CA",,"860196000495","Potter's Grapefruit Hibiscus Session Cider 24x12oz 6PACK CAN","0","0","0","0","0","34.36","24",,"860196000495","Beer","Beer",,"0"
"Hop & Wine Beverage, LLC","Root Retail LLC",,"4277","000001","09/17/2025","09/16/2025","09/17/2025","2115224","404.47","9",,,,"27267","1","41.56","CA",,"851695008013","Solace Suns Out Hops Out 24x12oz 6PACK CAN","-3.2","0","0","0","0","38.36","4",,"851695008013","Beer","Beer",,"0"
"Hop & Wine Beverage, LLC","Root Retail LLC",,"4277","000001","09/17/2025","09/16/2025","09/17/2025","2115224","404.47","9",,,,"33152","1","30.38","CA",,"850055735019","Aslin Old Town Lager T0 24x12oz 12PACK CAN","-1.6","0","0","0","0","28.78","2",,"850055735019","Beer","Beer",,"0"
"Hop & Wine Beverage, LLC","Root Retail LLC",,"4277","000001","09/17/2025","09/16/2025","09/17/2025","2115224","404.47","9",,,,"22659","1","41.56","CA","12 oz","780369800243","Shipyard Seasonal 4/6 12 oz Bottle ","-3.2","0","0","0","0","38.36","4","00780369800120","780369800120","Beer","Beer",,"6"
"Hop & Wine Beverage, LLC","Root Retail LLC",,"4277","000001","09/17/2025","09/16/2025","09/17/2025","2115224","404.47","9",,,,"22526","1","40.47","CA","12 oz","075747014238","Hofbrau Oktoberfestbier 4/6 12 oz Bottle ","-3","0","0","0","0","37.47","4","00075747014238","075747014238","Beer","Beer",,"6"
"Hop & Wine Beverage, LLC","Root Retail LLC",,"4277","000001","09/17/2025","09/16/2025","09/17/2025","2115224","404.47","9",,,,"33199","1","35.16","CA","12 oz","00704361151110","Great Lakes IPA 4/6 12 oz Bottle ","0","0","0","0","0","35.16","4","00704361150243","704361150243","Beer","Beer",,"6"
"Hop & Wine Beverage, LLC","Root Retail LLC",,"4277","000001","09/17/2025","09/16/2025","09/17/2025","2115224","404.47","9",,,,"32285","1","59.97","CA",,"851695008488","Solace Partly Cloudy IPA 24x16oz 8PACK CAN","-4.8","0","0","0","0","55.17","3",,"851695008488","Beer","Beer",,"0"
"Hop & Wine Beverage, LLC","Root Retail LLC",,"4277","000001","09/17/2025","09/16/2025","09/17/2025","2115224","404.47","9",,,,"31393","1","41.56","CA",,"851695008433","Solace Lil Bit Cloudy IPA 24x12oz 6PACK CAN","-3.2","0","0","0","0","38.36","4",,"851695008433","Beer","Beer",,"0"
"Hop & Wine Beverage, LLC","Root Retail LLC",,"4277","000001","09/17/2025","09/16/2025","09/17/2025","2115224","404.47","9",,,,"31110","1","94.45","CA",,"051497237721","Aslin Unicorn Vomit Triple IPA T4 24x16oz 4PACK CAN","0","0","0","0","0","94.45","6",,"051497237721","Spirits","Spirit",,"0"
"Hop & Wine Beverage, LLC","Root Retail LLC",,"4277","000001","09/17/2025","09/16/2025","09/17/2025","2115224","404.47","9",,,,"33885","1","38.36","CA",,"850055735217","Aslin Orange Starfish IPA T2 24x12oz 6PACK CAN","0","0","0","0","0","38.36","4",,"850055735217","Beer","Beer",,"0"
"Hop & Wine Beverage, LLC","Root Retail LLC",,"4277","000001","09/17/2025","09/16/2025","09/17/2025","2115225","7.33","1",,,,"23397.1","1","7.33","BO",,"7804606220298","Rayun Chardonnay 2022 12x750ml","0","0","0","0","0","7.33","12",,"7804606220298","Wine","Wine",,"0"
