Vendor Name,Retailer Name,Retailer VendorID,Vendor Store Number,Retailer Store Number,Fintech Process Date,Invoice Date,Invoice DueDate,Invoice Number,Invoice Amount,Invoice Item Count,PO Number,PO Date,Reference Invoice Number,Product Number,Quantity,Invoice Line Item Cost,Unit Of Measure,Product Volume,Case UPC,Product Description,Discount Adjustment Total,DepositAdjustmentTotal,Miscellaneous Adjustment Total,Tax Adjustment Total,Delivery Adjustment Total,Extended Price,Packs Per Case,Clean UPC,Pack UPC,Product Class,GL Code,Expanded StoreID,Units Per Pack
"Monsieur Touton Selection, (MD) Ltd.","Root Retail LLC",,"04S68D","000001","09/18/2025","09/12/2025","10/15/2025","MD442135","432.0","4",,,,"11773-24","1","96.0","CA",,"015643412356","LES DAUPHINS COTES DU RHONE RO","0","0","0","0","0","96.0","0",,"015643412356","Wine","Wine",,"0"
"Monsieur Touton Selection, (MD) Ltd.","Root Retail LLC",,"04S68D","000001","09/18/2025","09/12/2025","10/15/2025","MD442135","432.0","4",,,,"12176-23","1","104.0","CA",,"3142703400006","Pink Flamingo Tete de Cuvee Ro","0","0","0","0","0","104.0","0",,"3142703400006","Wine","Wine",,"0"
"Monsieur Touton Selection, (MD) Ltd.","Root Retail LLC",,"04S68D","000001","09/18/2025","09/12/2025","10/15/2025","MD442135","432.0","4",,,,"12604-23","1","112.0","CA",,"015643496721","THE LITTLE SHEEP SAUVIGNON BLA","0","0","0","0","0","112.0","0",,"015643496721","Wine","Wine",,"0"
"Monsieur Touton Selection, (MD) Ltd.","Root Retail LLC",,"04S68D","000001","09/18/2025","09/12/2025","10/15/2025","MD442135","432.0","4",,,,"8649","1","120.0","CA",,"015643237058","VILLA JOLANDA PROSECCO","0","0","0","0","0","120.0","0",,"015643237058","Wine","Wine",,"0"
"Capital Eagle, Inc","Root Retail LLC",,"29825","000001","09/18/2025","09/17/2025","09/17/2025","2109798","318.45","11",,,,"20091","1","32.3","CA","11.2 oz","786150000021","Stella Artois 4/6 11.2 oz Bottle ","0","0","0","0","0","32.3","4","00786150000014","786150000014","Beer","Beer",,"6"
"Capital Eagle, Inc","Root Retail LLC",,"29825","000001","09/18/2025","09/17/2025","09/17/2025","2109798","318.45","11",,,,"24203","1","32.3","CA","11.2 oz","00018200289835","Stella Artois Liberte 4/6 11.2 oz Bottle ","0","0","0","0","0","32.3","4","00018200203138","018200203138","Beer","Beer",,"6"
"Capital Eagle, Inc","Root Retail LLC",,"29825","000001","09/18/2025","09/17/2025","09/17/2025","2109798","318.45","11",,,,"50215","2","30.45","CA","12 oz","018200967702","Michelob Ultra 4/6 12 oz Bottle ","0","0","0","0","0","60.9","4","00018200059896","018200059896","Beer","Beer",,"6"
"Capital Eagle, Inc","Root Retail LLC",,"29825","000001","09/18/2025","09/17/2025","09/17/2025","2109798","318.45","11",,,,"30027","1","37.7","CA","12 oz","088394000127","Spaten Octoberfest 4/6 12 oz Bottle ","0","0","0","0","0","37.7","4","00088394000066","088394000066","Beer","Beer",,"6"
"Capital Eagle, Inc","Root Retail LLC",,"29825","000001","09/18/2025","09/17/2025","09/17/2025","2109798","318.45","11",,,,"91179","1","17.6","CA",,"00810116128815","PRIME H KSI NM 12/16.9 PLAS","0","0","0","0","0","17.6","12",,"00810116128808","Beer","Beer",,"0"
"Capital Eagle, Inc","Root Retail LLC",,"29825","000001","09/18/2025","09/17/2025","09/17/2025","2109798","318.45","11",,,,"91082","1","17.6","CA","16.9 oz","850040427097","Prime Hydration Meta Moon 1/12 16.9 oz Bottle ","0","0","0","0","0","17.6","1","00850040427103","0850040427103","Non-Alcoholic","Beer",,"12"
