Vendor Name,Retailer Name,Retailer VendorID,Vendor Store Number,Retailer Store Number,Fintech Process Date,Invoice Date,Invoice DueDate,Invoice Number,Invoice Amount,Invoice Item Count,PO Number,PO Date,Reference Invoice Number,Product Number,Quantity,Invoice Line Item Cost,Unit Of Measure,Product Volume,Case UPC,Product Description,Discount Adjustment Total,DepositAdjustmentTotal,Miscellaneous Adjustment Total,Tax Adjustment Total,Delivery Adjustment Total,Extended Price,Packs Per Case,Clean UPC,Pack UPC,Product Class,GL Code,Expanded StoreID,Units Per Pack
"Premium Distributors of Washington D.C., LLC","Root Retail LLC",,"07660","000001","09/19/2025","09/18/2025","09/18/2025","100277702","1457.12","29",,,,"65921","1","38.35","CA",,"00860011854104","DAD STRENGTH IPA C24 12OZ 6P","0","0","0","0","0","38.35","4",,"00860011854104","Beer","Beer",,"0"
"Premium Distributors of Washington D.C., LLC","Root Retail LLC",,"07660","000001","09/19/2025","09/18/2025","09/18/2025","100277702","1457.12","29",,,,"14316","1","34.4","CA","11.2 oz","083820567939","Red Stripe 4/6 11.2 oz Bottle ","0","0","0","0","0","34.4","4","00083820567939","083820567939","Beer","Beer",,"6"
"Premium Distributors of Washington D.C., LLC","Root Retail LLC",,"07660","000001","09/19/2025","09/18/2025","09/18/2025","100277702","1457.12","29",,,,"47946","0","39.41","CA",,"00723830014060","LAGUNITAS A LITTLE SUMPIN SUMPIN C24","0","0","0","0","0","0.0","4",,"00723830014060","Beer","Beer",,"0"
"Premium Distributors of Washington D.C., LLC","Root Retail LLC",,"07660","000001","09/19/2025","09/18/2025","09/18/2025","100277702","1457.12","29",,,,"10168","4","36.0","CA","12 oz","080660957661","Modelo Especial 4/6 12 oz Bottle ","0","0","0","0","0","144.0","4","00080660957654","080660957654","Beer","Beer",,"6"
"Premium Distributors of Washington D.C., LLC","Root Retail LLC",,"07660","000001","09/19/2025","09/18/2025","09/18/2025","100277702","1457.12","29",,,,"66615","1","37.47","CA","12 oz","851083003149","Port City Optimal Wit 4/6 12 oz Bottle ","0","0","0","0","0","37.47","4","00851083003101","851083003101","Beer","Beer",,"6"
"Premium Distributors of Washington D.C., LLC","Root Retail LLC",,"07660","000001","09/19/2025","09/18/2025","09/18/2025","100277702","1457.12","29",,,,"38538","1","39.15","CA","12 oz","083783110104","Sierra Nevada Hazy Little Thing 4/6 12 oz Can ","0","0","0","0","0","39.15","4","00083783110104","083783110104","Beer","Beer",,"6"
"Premium Distributors of Washington D.C., LLC","Root Retail LLC",,"07660","000001","09/19/2025","09/18/2025","09/18/2025","100277702","1457.12","29",,,,"35697","3","39.15","CA","12 oz","638489001937","Dogfish Head SeaQuench Ale 4/6 12 oz Can ","0","0","0","0","0","117.45","4","00638489001937","638489001937","Beer","Beer",,"6"
"Premium Distributors of Washington D.C., LLC","Root Retail LLC",,"07660","000001","09/19/2025","09/18/2025","09/18/2025","100277702","1457.12","29",,,,"51472","1","38.35","CA",,"00711583391118","RIGHT PROPER SENATE BEER C24 12OZ 6P","0","0","0","0","0","38.35","4",,"00711583391118","Beer","Beer",,"0"
"Premium Distributors of Washington D.C., LLC","Root Retail LLC",,"07660","000001","09/19/2025","09/18/2025","09/18/2025","100277702","1457.12","29",,,,"21876","1","34.3","CA","12 oz","088573800135","Shiner Ruby Redbird 4/6 12 oz Can ","0","0","0","0","0","34.3","4","00088573800142","088573800142","Beer","Beer",,"6"
"Premium Distributors of Washington D.C., LLC","Root Retail LLC",,"07660","000001","09/19/2025","09/18/2025","09/18/2025","100277702","1457.12","29",,,,"23848","3","38.35","CA","12 oz","736211151032","DC BRAU Corruption Ale 4/6 12 oz Can ","0","0","0","0","0","115.05","4","00736211151032","736211151032","Beer","Beer",,"6"
